pdf,xlsx,jalali_date,records,engine
Supplements20250916.pdf,Supplements20250916.xlsx,25 شهریور 1404,17,pdfplumber
Supplements20250917.pdf,Supplements20250917.xlsx,26 شهریور 1404,16,pdfplumber
Supplements20250918.pdf,Supplements20250918.xlsx,27 شهریور 1404,22,pdfplumber
Supplements20250922.pdf,Supplements20250922.xlsx,31 شهریور 1404,21,pdfplumber
Supplements20250923.pdf,Supplements20250923.xlsx,1 مهر 1404,27,pdfplumber
Supplements20250924.pdf,Supplements20250924.xlsx,2 مهر 1404,26,pdfplumber
Supplements20250927.pdf,Supplements20250927.xlsx,5 مهر 1404,14,pdfplumber
Supplements20250929.pdf,Supplements20250929.xlsx,7 مهر 1404,11,pdfplumber
Supplements20250930.pdf,Supplements20250930.xlsx,8 مهر 1404,11,pdfplumber
Supplements20251004.pdf,Supplements20251004.xlsx,12 مهر 1404,26,pdfplumber
Supplements20251006.pdf,Supplements20251006.xlsx,14 مهر 1404,20,pdfplumber
Supplements20251007.pdf,Supplements20251007.xlsx,15 مهر 1404,9,pdfplumber
Supplements20251008.pdf,Supplements20251008.xlsx,16 مهر 1404,20,pdfplumber
Supplements20251009.pdf,Supplements20251009.xlsx,17 مهر 1404,13,pdfplumber
Supplements20251011.pdf,Supplements20251011.xlsx,19 مهر 1404,14,pdfplumber
Supplements20251013.pdf,Supplements20251013.xlsx,21 مهر 1404,28,pdfplumber
Supplements20251014.pdf,Supplements20251014.xlsx,22 مهر 1404,13,pdfplumber
Supplements20251015.pdf,Supplements20251015.xlsx,23 مهر 1404,14,pdfplumber
Supplements20251018.pdf,Supplements20251018.xlsx,26 مهر 1404,27,pdfplumber
Supplements20251020.pdf,Supplements20251020.xlsx,28 مهر 1404,17,pdfplumber
Supplements20251021.pdf,Supplements20251021.xlsx,29 مهر 1404,19,pdfplumber
Supplements20251022.pdf,Supplements20251022.xlsx,30 مهر 1404,17,pdfplumber
Supplements20251025.pdf,Supplements20251025.xlsx,3 آبان 1404,19,pdfplumber
Supplements20251026.pdf,Supplements20251026.xlsx,4 آبان 1404,7,pdfplumber
Supplements20251027.pdf,Supplements20251027.xlsx,5 آبان 1404,26,pdfplumber
Supplements20251028.pdf,Supplements20251028.xlsx,6 آبان 1404,19,pdfplumber
Supplements20251029.pdf,Supplements20251029.xlsx,7 آبان 1404,17,pdfplumber
Supplements20251101.pdf,Supplements20251101.xlsx,10 آبان 1404,28,pdfplumber
Supplements20251102.pdf,Supplements20251102.xlsx,11 آبان 1404,29,pdfplumber
Supplements20251103.pdf,Supplements20251103.xlsx,12 آبان 1404,10,pdfplumber
Supplements20251105.pdf,Supplements20251105.xlsx,14 آبان 1404,26,pdfplumber
Supplements20251106.pdf,Supplements20251106.xlsx,15 آبان 1404,11,pdfplumber
Supplements20251109.pdf,Supplements20251109.xlsx,18 آبان 1404,23,pdfplumber
Supplements20251110.pdf,Supplements20251110.xlsx,19 آبان 1404,28,pdfplumber
Supplements20251111.pdf,Supplements20251111.xlsx,20 آبان 1404,8,pdfplumber
Supplements20251113.pdf,Supplements20251113.xlsx,22 آبان 1404,11,pdfplumber
Supplements20251115.pdf,Supplements20251115.xlsx,24 آبان 1404,17,pdfplumber
Supplements20251118.pdf,Supplements20251118.xlsx,27 آبان 1404,27,pdfplumber
Supplements20251122.pdf,Supplements20251122.xlsx,1 آذر 1404,23,pdfplumber
Supplements20251123.pdf,Supplements20251123.xlsx,2 آذر 1404,11,pdfplumber
Supplements20251125.pdf,Supplements20251125.xlsx,2 آذر 1404,11,pdfplumber
Supplements20251126.pdf,Supplements20251126.xlsx,5 آذر 1404,6,pdfplumber
Supplements20251127.pdf,Supplements20251127.xlsx,6 آذر 1404,21,pdfplumber
Supplements20251129.pdf,Supplements20251129.xlsx,8 آذر 1404,20,pdfplumber
Supplements20251130.pdf,Supplements20251130.xlsx,9 آذر 1404,10,pdfplumber
Supplements20251201.pdf,Supplements20251201.xlsx,10 آذر 1404,23,pdfplumber
Supplements20251204.pdf,Supplements20251204.xlsx,13 آذر 1404,52,pdfplumber
Supplements20251206.pdf,Supplements20251206.xlsx,15 آذر 1404,17,pdfplumber
Supplements20251207.pdf,Supplements20251207.xlsx,16 آذر 1404,23,pdfplumber
Supplements20251209.pdf,Supplements20251209.xlsx,18 آذر 1404,17,pdfplumber
Supplements20251211.pdf,Supplements20251211.xlsx,20 آذر 1404,14,pdfplumber
Supplements20251213.pdf,Supplements20251213.xlsx,22 آذر 1404,11,pdfplumber
Supplements20251215.pdf,Supplements20251215.xlsx,24 آذر 1404,17,pdfplumber
Supplements20251217.pdf,Supplements20251217.xlsx,26 آذر 1404,9,pdfplumber
Supplements20251218.pdf,Supplements20251218.xlsx,27 آذر 1404,7,pdfplumber
Supplements20251223.pdf,Supplements20251223.xlsx,2 دی 1404,23,pdfplumber
Supplements20251225.pdf,Supplements20251225.xlsx,4 دی 1404  (از نام فایل),23,pypdf
Supplements20251227.pdf,Supplements20251227.xlsx,6 دی 1404,30,pdfplumber
Supplements20251228.pdf,Supplements20251228.xlsx,7 دی 1404,9,pdfplumber
Supplements20251229.pdf,Supplements20251229.xlsx,8 دی 1404,18,pdfplumber
Supplements20251231.pdf,Supplements20251231.xlsx,10 دی 1404,13,pdfplumber
Supplements20260101.pdf,Supplements20260101.xlsx,11 دی 1404,16,pdfplumber
Supplements20260104.pdf,Supplements20260104.xlsx,14 دی 1404,15,pdfplumber
Supplements20260106.pdf,Supplements20260106.xlsx,16 دی 1404,30,pdfplumber
Supplements20260107.pdf,Supplements20260107.xlsx,17 دی 1404,18,pdfplumber
Supplements20260108.pdf,Supplements20260108.xlsx,18 دی 1404,18,pdfplumber
Supplements20260110.pdf,Supplements20260110.xlsx,20 دی 1404,16,pdfplumber
Supplements20260111.pdf,Supplements20260111.xlsx,21 دی 1404,15,pdfplumber
Supplements20260112.pdf,Supplements20260112.xlsx,22 دی 1404,25,pdfplumber
Supplements20260113.pdf,Supplements20260113.xlsx,23 دی 1404,30,pdfplumber
Supplements20260115.pdf,Supplements20260115.xlsx,25 دی 1404,34,pdfplumber
Supplements20260118.pdf,Supplements20260118.xlsx,28 دی 1404,30,pdfplumber
Supplements20260119.pdf,Supplements20260119.xlsx,29 دی 1404,18,pdfplumber
Supplements20260120.pdf,Supplements20260120.xlsx,30 دی 1404,22,pdfplumber
Supplements20260121.pdf,Supplements20260121.xlsx,1 بهمن 1404,20,pdfplumber
Supplements20260122.pdf,Supplements20260122.xlsx,2 بهمن 1404,19,pdfplumber
Supplements20260124.pdf,Supplements20260124.xlsx,4 بهمن 1404,12,pdfplumber
Supplements20260125.pdf,Supplements20260125.xlsx,5 بهمن 1404,30,pdfplumber
Supplements20260126.pdf,Supplements20260126.xlsx,6 بهمن 1404,41,pdfplumber
Supplements20260127.pdf,Supplements20260127.xlsx,7 بهمن 1404,36,pdfplumber
Supplements20260128.pdf,Supplements20260128.xlsx,8 بهمن 1404,30,pdfplumber
Supplements20260129.pdf,Supplements20260129.xlsx,9 بهمن 1404,26,pdfplumber
Supplements20260131.pdf,Supplements20260131.xlsx,11 بهمن 1404,40,pdfplumber
Supplements20260201.pdf,Supplements20260201.xlsx,12 بهمن 1404,17,pdfplumber
Supplements20260202.pdf,Supplements20260202.xlsx,13 بهمن 1404,37,pdfplumber
Supplements20260203.pdf,Supplements20260203.xlsx,14 بهمن 1404,35,pdfplumber
Supplements20260205.pdf,Supplements20260205.xlsx,16 بهمن 1404,41,pdfplumber
Supplements20260207.pdf,Supplements20260207.xlsx,18 بهمن 1404,43,pdfplumber
Supplements20260208.pdf,Supplements20260208.xlsx,19 بهمن 1404,24,pdfplumber
Supplements20260209.pdf,Supplements20260209.xlsx,20 بهمن 1404,55,pdfplumber
Supplements20260210.pdf,Supplements20260210.xlsx,21 بهمن 1404,48,pdfplumber
Supplements20260214.pdf,Supplements20260214.xlsx,25 بهمن 1404,68,pdfplumber
Supplements20260215.pdf,Supplements20260215.xlsx,26 بهمن 1404,24,pdfplumber
Supplements20260216.pdf,Supplements20260216.xlsx,27 بهمن 1404,55,pdfplumber
Supplements20260217.pdf,Supplements20260217.xlsx,28 بهمن 1404,55,pdfplumber
Supplements20260218.pdf,Supplements20260218.xlsx,29 بهمن 1404  (از نام فایل),17,pypdf
Supplements20260219.pdf,Supplements20260219.xlsx,30 بهمن 1404,15,pdfplumber
Supplements20260221.pdf,Supplements20260221.xlsx,2 اسفند 1404,28,pdfplumber
Supplements20260222.pdf,Supplements20260222.xlsx,3 اسفند 1404,28,pdfplumber
Supplements20260223 (2).pdf,Supplements20260223 (2).xlsx,5 اسفند 1404,61,pdfplumber
Supplements20260223.pdf,Supplements20260223.xlsx,4 اسفند 1404,32,pdfplumber
Supplements20260225.pdf,Supplements20260225.xlsx,6 اسفند 1404,17,pdfplumber
Supplements20260226.pdf,Supplements20260226.xlsx,7 اسفند 1404,20,pdfplumber
Supplements20260305.pdf,Supplements20260305.xlsx,14 اسفند 1404,83,pdfplumber
Supplements20260307.pdf,Supplements20260307.xlsx,16 اسفند 1404,35,pdfplumber
Supplements20260312.pdf,Supplements20260312.xlsx,21 اسفند 1404  (از نام فایل),35,pypdf
Supplements20260411.pdf,Supplements20260411.xlsx,22 فروردین 1405,56,pdfplumber
Supplements20260415.pdf,Supplements20260415.xlsx,26 فروردین 1405,42,pdfplumber
Supplements20260419.pdf,Supplements20260419.xlsx,30 فروردین 1405,24,pdfplumber
Supplements20260420.pdf,Supplements20260420.xlsx,31 فروردین 1405,14,pdfplumber
Supplements20260422.pdf,Supplements20260422.xlsx,2 اردیبهشت 1405,28,pdfplumber
Supplements20260423.pdf,Supplements20260423.xlsx,3 اردیبهشت 1405,41,pdfplumber
Supplements20260424.pdf,Supplements20260424.xlsx,4 اردیبهشت 1405,37,pdfplumber
Supplements20260425.pdf,Supplements20260425.xlsx,5 اردیبهشت 1405,37,pdfplumber
Supplements20260426.pdf,Supplements20260426.xlsx,6 اردیبهشت 1405,30,pdfplumber
Supplements20260427.pdf,Supplements20260427.xlsx,7 اردیبهشت 1405,13,pdfplumber
Supplements20260429.pdf,Supplements20260429.xlsx,9 اردیبهشت 1405,40,pdfplumber
Supplements20260430.pdf,Supplements20260430.xlsx,10 اردیبهشت 1405,60,pdfplumber
Supplements20260502.pdf,Supplements20260502.xlsx,12 اردیبهشت 1405,45,pdfplumber
Supplements20260503.pdf,Supplements20260503.xlsx,13 اردیبهشت 1405,47,pdfplumber
Supplements20260504.pdf,Supplements20260504.xlsx,14 اردیبهشت 1405,42,pdfplumber
Supplements20260505.pdf,Supplements20260505.xlsx,15 اردیبهشت 1405,54,pdfplumber
Supplements20260507.pdf,Supplements20260507.xlsx,17 اردیبهشت 1405,60,pdfplumber
Supplements20260509.pdf,Supplements20260509.xlsx,19 اردیبهشت 1405,45,pdfplumber
Supplements20260510.pdf,Supplements20260510.xlsx,20 اردیبهشت 1405,61,pdfplumber
Supplements20260511.pdf,Supplements20260511.xlsx,21 اردیبهشت 1405,54,pdfplumber
Supplements20260512.pdf,Supplements20260512.xlsx,22 اردیبهشت 1405,53,pdfplumber
Supplements20260513.pdf,Supplements20260513.xlsx,23 اردیبهشت 1405,52,pdfplumber
Supplements20260514.pdf,Supplements20260514.xlsx,24 اردیبهشت 1405,62,pdfplumber
Supplements20260516.pdf,Supplements20260516.xlsx,26 اردیبهشت 1405,59,pdfplumber
Supplements20260517.pdf,Supplements20260517.xlsx,27 اردیبهشت 1405,40,pdfplumber
Supplements20260518.pdf,Supplements20260518.xlsx,28 اردیبهشت 1405,33,pdfplumber
Supplements20260519.pdf,Supplements20260519.xlsx,29 اردیبهشت 1405,39,pdfplumber
Supplements20260521.pdf,Supplements20260521.xlsx,31 اردیبهشت 1405,38,pdfplumber
Supplements20260523.pdf,Supplements20260523.xlsx,2 خرداد 1405,75,pdfplumber
Supplements20260524.pdf,Supplements20260524.xlsx,3 خرداد 1405,70,pdfplumber
Supplements20260525.pdf,Supplements20260525.xlsx,4 خرداد 1405,46,pdfplumber
Supplements20260526.pdf,Supplements20260526.xlsx,5 خرداد 1405,47,pdfplumber
Supplements20260528.pdf,Supplements20260528.xlsx,7 خرداد 1405,59,pdfplumber
Supplements20260530.pdf,Supplements20260530.xlsx,9 خرداد 1405,72,pdfplumber
Supplements20260531.pdf,Supplements20260531.xlsx,10 خرداد 1405,44,pdfplumber
Supplements20260601.pdf,Supplements20260601.xlsx,11 خرداد 1405,29,pdfplumber
Supplements20260602.pdf,Supplements20260602.xlsx,12 خرداد 1405,24,pdfplumber
